,artist,track,uri,nick_history,jojo_history,rich_history
275,Auntie Flo,Highlife - SOPHIE Remix,spotify:track:1QRzHpULC2uZqfsviuu90k,,True,
276,Mitski,Stay Soft,spotify:track:07zVQBJfbOuaAhpT3stRFL,,True,
277,Pardison Fontaine,Backin' It Up (feat. Cardi B),spotify:track:0ldWh5GwkxnhjoUdGKzXEq,,True,
278,Glass Animals,The Other Side Of Paradise,spotify:track:0rRjGruFonCGOt0S5zAJNQ,,True,
279,Father,Who's Gonna Get Fucked First?,spotify:track:6IWQArAqcjGhBKnyom2b1G,,True,
280,Death Grips,World Of Dogs,spotify:track:1vsdF31uQBAxLTXIUAke6T,,True,
281,Torraine Futurum,Miles from Heaven,spotify:track:7LsEB3YC1vVBqu3Cxp2clO,,True,
282,Goreshit,gay ass vampire shit,spotify:track:0hB42rb9ZbfJN231AbDnfe,,True,
283,JAY-Z,Who Gon Stop Me,spotify:track:2eqOjSC8dY1iFrQiJGPDOX,,True,True
284,Madge,H8R,spotify:track:3cowlJ4DjtFnWUgg6NDk9Q,,True,
285,Emily Montes,The Blessed Emily,spotify:track:7rltb4wQtU3ovGbPb16PWH,,True,
286,Maliibu Miitch,Give Her Some Money,spotify:track:6hrHoJmuISU9FhbFxGgrr1,,True,
287,Indigo De Souza,Kill Me,spotify:track:66N8I6v00iQFPd56yU7dXf,,True,
288,AURORA,Cure For Me,spotify:track:33WTgxRdPBQQpVCMXpNxhO,,,
289,Shou,Tasty Carrots,spotify:track:54FgTS1O5kbZLaPjsCFY6x,,,
290,"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),spotify:track:4bEcoz1OcfMgUbp2ft8ieQ,True,True,
291,Indigo De Souza,How I Get Myself Killed,spotify:track:4kgbbVuAkGzmldwcJxagFT,,True,
292,Candy Claws,Into the Deep Time (One Sun),spotify:track:0lw2mLzNcwftfTvDojdySG,,,
293,grandma,Stomp and Grind (feat. Rico Nasty),spotify:track:1Cd8NflZKY5kmQdPdhSJwI,,True,
294,Soulja Boy,Kiss Me Thru The Phone,spotify:track:2q4rjDy9WhaN3o9MvDbO21,,True,
295,glass beach,classic j dies and goes to hell part 1,spotify:track:3ezuOjWuTirncJITAb8ahf,,True,
296,SOPHIE,VYZEE,spotify:track:7sSB5P2m9vicw8b2PKt3T9,,True,
297,Rina Sawayama,Comme Des Garçons (Like The Boys),spotify:track:2W0Wz0NzO7u5kcb7dGvv5w,,True,
298,Aminé,RATCHET SATURN GIRL,spotify:track:2q4F6OpQgx9umNB9uGFPYo,,True,
299,Ayesha Nicole Smith,Literal Legend,spotify:track:04S5441cZXHu55Xx2wvwIh,,,
300,Anderson .Paak,Come Down,spotify:track:276zciJ7Fg7Jk6Ta6QuLkp,,True,
301,Alice Longyu Gao,100 Boyfriends,spotify:track:4bIYlBqq2HGHTvLqV9E1f8,,,
302,Kero Kero Bonito,Lipslap,spotify:track:2oZHqyiEdQvZimjrdQrEtF,,True,
303,WJSN,Pantomime,spotify:track:4lPsBlof2cjAIArw0nOGvQ,,True,
304,Baby Tate,Pretty Girl,spotify:track:3oFlyenXjgsCoLCO90sAdY,,True,
305,Molly Brazy,Fight Me,spotify:track:57EM80IR7Gj3zgUT9SSmqe,,True,
306,MF DOOM,Rapp Snitch Knishes (feat. Mr. Fantastik),spotify:track:4xz7WX28IkmcaHv06lCezR,,,
307,Kelis,Bossy,spotify:track:7nR3jmYBf3e9TEf6zpJiZb,,,
308,Alice Glass,NIGHTMARES,spotify:track:7mSlQDf71bBDU3vRMJCSol,,True,
309,Fiona Apple,Shameika,spotify:track:2pDKE8Q40TDGPl1O11DKKn,,True,
310,ミドリ,お猿,spotify:track:1R6knwr1q0ylkanX1mBe75,,,
311,Rina Sawayama,Cherry,spotify:track:36RGU7buus2UUtrPZ78hkR,,True,
312,Death Grips,Billy Not Really,spotify:track:6dxm3Z8U4lOJTWo6cGVDCR,,True,
313,Qumu,"Bubblegum K.K. (From ""Animal Crossing: New Leaf"")",spotify:track:6UwVBumIzgJg1GJwRbgYDy,,True,
314,Daneshevskaya,Dr. Johann Averies,spotify:track:0FXTj56OeM7A1FDV6N3bmw,,,
315,Carly Rae Jepsen,I'll Be Your Girl,spotify:track:51UAm8F9u16skm1R1ckMwr,,True,
316,Soulja Boy,Pretty Boy Swag,spotify:track:6sQH5GFuqhvemSdP2oOfRi,,True,
317,Fiona Apple,For Her,spotify:track:5BBWr1LUsCH1tECJLAUGnP,,,
318,Kero Kero Bonito,It's Bugsnax!,spotify:track:1goNp8FZSjak6UHYsawniU,,True,
319,A$AP Ferg,Plain Jane REMIX (feat. Nicki Minaj),spotify:track:2YzmfPLqUx5CJOaw5ThsBV,,True,
320,Kanye West,All Falls Down,spotify:track:5SkRLpaGtvYPhw02vZhQQ9,True,True,True
321,"Tyler, The Creator",LEMONHEAD (feat. 42 Dugg),spotify:track:5fbHRCsGpFIOLRtlhCRFDR,True,True,
322,Baby Keem,APOLOGIZE,spotify:track:4MQIDIQjNWkUvpXe5Je7TO,,True,
323,Juicy J,TAKE IT,spotify:track:7gWoH2UDpBkQsq6KOuZXLw,,True,
324,Lorde,A World Alone,spotify:track:55N0YHhO55Q1lWsc4dDPcI,,True,
325,Rina Sawayama,Paradisin',spotify:track:0e1yfIkdDkvhSo2dFYCZIL,,,
326,Payday,Vampire - 1300 Remix,spotify:track:0GD39aIdx8AdViz1RFFZWh,,True,
327,KIDS SEE GHOSTS,4th Dimension,spotify:track:6JyEh4kl9DLwmSAoNDRn5b,,True,True
328,mxmtoon,ok on your own (feat. Carly Rae Jepsen),spotify:track:36GBFPY75lJpxk7GugxhL7,,True,
329,Kanye West,Gorgeous,spotify:track:23SZWX2IaDnxmhFsSLvkG2,,True,True
330,Kero Kero Bonito,Battle Lines,spotify:track:1YgbxtF7oePn9Gi7W03ysO,,True,
331,BENEE,Plain (feat. Lily Allen & Flo Milli),spotify:track:4CwcIiZQvy4d9SxAUn5OaJ,,True,
332,Freddie Gibbs,High (feat. Danny Brown),spotify:track:2bSF5Qs8IQE9RRaZIef7mO,,,
333,Fickle Friends,Broken Sleep,spotify:track:5DWaEpFT3vqOrr3fTaOhA6,,True,
334,BIA,YAKWTFGO (feat. Kali Uchis),spotify:track:6rrP1mBTbBkJCP7FsBe0SM,,,
335,cupcakKe,Grilling Niggas,spotify:track:65UFucLPiVySQbDxw7zpqu,,True,
336,Sweet Trip,Pro: Lov: Ad,spotify:track:7rR1msZYCT2MlrssnJMYgw,,True,
337,The Internet,Come Over,spotify:track:70Tf2nUzVd9UfyJHwM5lic,,True,
338,Childish Gambino,Redbone,spotify:track:3kxfsdsCpFgN412fpnW85Y,True,True,True
339,Rina Sawayama,Flicker,spotify:track:4dt65BryNBYLgcKq4FJjbK,,True,
340,HOLYCHILD,Bathroom Bitch,spotify:track:75bLecYzbQpsnFMSWl055x,,True,
341,Still Woozy,Habit,spotify:track:1M321puDN1WBd5NF0ogOKW,,True,True
342,Cornelius,Typewrite Lesson,spotify:track:2JEZdhsjF848Elx2XO3onI,,True,
343,SOPHIE,Immaterial,spotify:track:02Mkz55cCAHabqlxwSP6X0,,True,
344,Kanye West,School Spirit,spotify:track:1th3G3okofWlvGWAAR7Y4V,,,
345,"Tyler, The Creator",Goblin,spotify:track:5LJD1sBRPnDkhWs2D5qRk2,,True,
346,Arizona Zervas,ROXANNE,spotify:track:1ZPWWSwCkxKfqdp4H0RFCo,True,True,True
347,MARINA,Radioactive,spotify:track:0HtM9aNFkEwd6alO0av3Qq,True,True,
348,Otoboke Beaver,PARDON?,spotify:track:7l6yDpU2vIDXFQpdEYgpNO,,,
349,MARINA,I Am Not a Robot,spotify:track:4Og5nDOUVu3ZrYQP4Ungyg,,True,
350,Kanye West,New Again,spotify:track:75QktuEju5vz9lyXiLaUao,,,
351,Rina Sawayama,LUCID,spotify:track:5DVATjQZPVsm5kWbrPmekU,,True,
352,GameChops,Lonely Rolling Star,spotify:track:3wkejkspxUUrX4G7zdpQSd,,True,
353,Carly Rae Jepsen,Too Much,spotify:track:4wpQYSyuaEMCoIC5GCdZPR,,True,
354,Vulfpeck,Dean Town,spotify:track:1oOD1pV43cV9sHg97aBdLs,,True,
355,Lady Gaga,G.U.Y.,spotify:track:5ve8saw5u0CbP9fcyNzmxN,,True,
356,Fiona Apple,Fetch The Bolt Cutters,spotify:track:4SdubskbLiOkpsIjRVVsya,,True,
357,BETWEEN FRIENDS,affection,spotify:track:3zWKSvWD4jONuTDlVpN5BT,,True,
358,Daft Punk,One More Time,spotify:track:0DiWol3AO6WpXZgp0goxAV,,True,
359,100 gecs,bloodstains,spotify:track:1j581GCDFQ9P8xd6fyjgLt,,True,
360,Kanye West,Love Lockdown,spotify:track:1kxeWHF9PrCVZHvVskv8lg,,True,True
361,osno1,A Conversation I Overheard,spotify:track:7jUa6Loc6TGsmXqxpawkvK,,True,
362,Indigo De Souza,What Are We Gonna Do Now,spotify:track:1K3RvsS9oMpii4yD1uOQlN,,True,
363,Consequence,"The Good, The Bad, The Ugly (feat. Kanye West) - Explicit Album Version",spotify:track:52uU5uNt9lOstGCc6C7QEJ,,,
364,Mitski,Strawberry Blond,spotify:track:3eGsNpXzcb1BDkfSJI54NY,,True,
365,Rihanna,Needed Me,spotify:track:1Tt4sE4pXi57mTD1GCzsqm,,True,
366,MGMT,Kids,spotify:track:1jJci4qxiYcOHhQR247rEU,,True,
367,Lady Gaga,Applause,spotify:track:2Zj4FUsMtu9PMuJsHbGbdv,,True,
368,Aminé,Wedding Crashers,spotify:track:3nVDOYBJpdCkRR6r1DbZum,,True,
369,Beyoncé,Crazy In Love (feat. Jay-Z),spotify:track:5IVuqXILoxVWvWEPm82Jxr,,True,
370,Death Grips,Spikes,spotify:track:11TpRtA1zMLeAPTLloNmG4,,True,
371,Breakbot,Baby I'm Yours - feat. Irfrane,spotify:track:7oGwQOTkMB9Sk3DIKJLd5F,,True,
372,Kesha,TiK ToK,spotify:track:6zQlRd6tvEVJm59P8PMj7o,True,True,
373,Thundercat,Them Changes,spotify:track:7CH99b2i1TXS5P8UUyWtnM,,True,
374,Denzel Curry,Ultimate,spotify:track:6R0GRYk2vs2XuBVemYK5YZ,,True,
375,Kanye West,I Wonder,spotify:track:4jQqM4NI79HEcWHUJb8Hvf,True,True,
376,Otoboke Beaver,I am not maternal,spotify:track:2kVBf5PiS9LBhvDaBQ4uue,,True,
377,Remi Wolf,Sauce,spotify:track:5uW2R7x5qyIRQRrQN38rsp,,True,
378,Kitty,Scout Finch Bitch,spotify:track:3LbrJ3y1XipPlAUGMJLHf2,,True,
379,Tove Lo,shivering gold,spotify:track:1GXUd5gJuydAdM0dlQrwbX,,True,
380,"Tyler, The Creator",Golden,spotify:track:0150LSsZrpksYFj3nbynwj,,True,
381,BENEE,Supalonely (feat. Gus Dapperton),spotify:track:3GZoWLVbmxcBys6g0DLFLf,,True,
382,Sweet Little Band,Supercut,spotify:track:3paiJuTRVivZxBnlXkOHF1,,True,
383,Kanye West,Breathe In Breathe Out,spotify:track:4KFY4EEv9CN6ivrzD6vEvg,,,
384,Daniel Koestner,Raccoon House Music,spotify:track:0EPLyDc6Ar31QKZZtgEBxZ,,True,
385,Kanye West,Blood On The Leaves,spotify:track:42GcjriRK6srwHkfbkBqVl,,True,
386,Baby Keem,ORANGE SODA,spotify:track:5FkoSXiJPKTNyYgALRJFhD,,True,
387,Kendrick Lamar,The Heart Part 4,spotify:track:41eiwHEX8iegmqmS2cf7oX,,,
388,Maude Latour,Furniture,spotify:track:5hwCVRrBvFOkH3oK0LB7Fc,,True,
389,Kaoru Akimoto,Dress Down,spotify:track:4M9Op6UQ36mhtjMBuevRYN,,True,
390,Kanye West,Yikes,spotify:track:1qsHYUd2c1wFGcn7e63QmG,,True,True
391,RXKNephew,Slither Conspiracy,spotify:track:1wq1MOQLzKToYb6IjZb52G,,,
392,Kanye West,Blame Game,spotify:track:4EndPA8b6FDWYp1RgsnLEB,,True,True
393,Leikeli47,Iron Mike,spotify:track:3qMJ7Ek4Al0BeMnMAI6Ves,,True,
394,Ryn Weaver,OctaHate,spotify:track:7JVfDagtyWy9bYsaf37H9K,,True,
395,Princess Nokia,Versace Hottie,spotify:track:6FmCiOJMEmx6dbmFyHJ2p0,,True,
396,Kesha,Die Young,spotify:track:6mnjcTmK8TewHfyOp3fC9C,,True,
397,$NOT,Mean,spotify:track:3PXi72ZtSqx1PZc40KS0Qj,,True,
398,Poppy,Play Destroy,spotify:track:3X3FzrA32EbYvu3n3526w4,,True,
399,Otoboke Beaver,Beaver Ni Tsuretette - Remastered 2018,spotify:track:2DeJA7ObVOsP7WjJGx79G4,,,
400,Kanye West,Drunk and Hot Girls,spotify:track:4Sw4lblE6aXpoOJma6Mlx5,,True,
401,Mild High Club,Homage,spotify:track:7pegxVesMmE2qK0o58xoFG,,True,
402,Maya B,Selenas,spotify:track:1XfH8yVbajh9dkU3nE7fCK,,True,
403,Doja Cat,Bottom Bitch,spotify:track:0TFkU9aroYAmxCxhOTd0yj,,True,
404,Anamanaguchi,Miku,spotify:track:2wxeIeofgy4AHaOhtePamJ,,True,
405,Fickle Friends,Rotation,spotify:track:0HIXq9nz3N6XaKUf9eWOPy,,True,
406,"Tyler, The Creator",Radicals,spotify:track:5a2vYvmIWmtA8KcUTthpRk,,True,
407,Kanye West,Get Em High,spotify:track:5b2FFKC64kxqcfaFnIZxoM,,,
408,BLACKSTARKIDS,"LOVE, STARGIRL",spotify:track:1AgJta10Dm76yA5uz7EuTV,,True,
409,Unknown Mortal Orchestra,Necessary Evil,spotify:track:4dhARBZ8YLvm8oRDnCIeXr,,True,
410,Two Door Cinema Club,I Can Talk,spotify:track:5R34yWuK4EWjy3l6IAfMFJ,,True,
411,Delfín Quishpe,Torres Gemelas,spotify:track:68NI5JXY2vK9HOeBvUwr0e,,,
412,PASSENGER OF SHIT,Staple Tape Worms on My Penis,spotify:track:7veiR3qo7k7m2GPQx0s7X1,,True,
413,Drive45,Everything I Own,spotify:track:53FufLl4OfGMzdJv73Hpgg,,True,
414,Charli XCX,Girls Night Out,spotify:track:7jspeyAKVWaBYvPGPe6u46,,True,
415,Mlma,Sweetie,spotify:track:09LOrSenEZicFy6U5SIhfa,,True,
416,The Internet,Girl (feat. KAYTRANADA),spotify:track:3PFaFVWq5wucLu6s4baj9D,,True,
417,Rina Sawayama,Where U Are,spotify:track:3z8YW7Aza0dHLBgVUuj2ay,,True,
418,LOONA,Hi High,spotify:track:0RqzUS7AkBhQDrBxcGFeDv,,True,
419,Aminé,"Pressure In My Palms (feat. slowthai, Vince Staples)",spotify:track:2nWB8ZpA1lxulicEUzTQ6W,,True,
420,Vulfpeck,Sky Mall,spotify:track:0e3Ss9QHdiGCyOst88pilL,,True,
421,"Tyler, The Creator",THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12 (REMIX) (feat. ScHoolboy Q),spotify:track:629TRAVD61y1ZVNl9EOfEE,,True,
422,Mitski,Should've Been Me,spotify:track:5FQ9NDyx3KZXhovWWq4Gxo,,True,
423,S3RL,Mtc,spotify:track:56nLHj9HJr3xpbLarnr0l4,,True,
424,Boys Noize,Girl Crush,spotify:track:7knYJi6aP5sCLPPSGmfLqJ,,True,
425,Black Eyed Peas,Pump It,spotify:track:6btyEL6NwUa97Nex9cZFvo,,True,
426,Vince Staples,Love Can Be...,spotify:track:6q0wu4qjc9XVyqqRv7vlMZ,,True,
427,Death Grips,Hustle Bones,spotify:track:5PXyH5bb5fbVfO8LjByhBb,,True,
428,Denzel Curry,SHAKE 88 FEAT. SAM SNEAK,spotify:track:27F7BWz4WuC8GuSIcFbx1a,,True,
429,Coco & Clair Clair,Pretty - Shacob Remix,spotify:track:4YpdiZChdldyfMwr5al42j,,True,
430,LOOΠΔ / ODD EYE CIRCLE,LOONATIC,spotify:track:2FwFu6y1aXPWXWcD9RxA6v,,True,
431,Car Seat Headrest,Unforgiving Girl (She's Not An),spotify:track:1bNFcAne3QoFy6Yf5wddf9,,True,
432,Otoboke Beaver,Oniisan Anone - Remastered 2018,spotify:track:77dN2K1OFsqmklJ2wZsKMG,,True,
433,NLE Choppa,Speed It Up (feat. Rico Nasty),spotify:track:6GJNHAkwOF8O5G6HVAuB4v,,True,
434,MIA GLADSTONE,Love U,spotify:track:3P51FjZ2FPoQZ40TcNkqO7,,True,
435,Kesha,"Sleazy REMIX 2.0 Get Sleazier (feat. Lil' Wayne, Wiz Khalifa, T.I. & André 3000)",spotify:track:1zPDgF3K6QXcTopDB3SVg9,,True,
436,Latto,B*tch From Da Souf,spotify:track:6tLWt7gkvvTSjS6OfJjiyJ,,True,
437,Pretty Boy Aaron,Comb My Hair,spotify:track:5XaBTK8VUAabcjBb8aPDfv,,True,
438,ROSALÍA,Con Altura,spotify:track:2qG5sZ7Si6sdK74qLxedYM,,True,
439,Beach Bunny,Cloud 9,spotify:track:6vFsBXYczYsP0H3lgunZOm,,True,
440,ZOMBIE-CHANG,Lemonade,spotify:track:2gYlKdEVV6AYg82dr6DgVf,,True,
441,Kanye West,Heaven and Hell,spotify:track:2ZUJsR8HEktit58X6FuPQM,,True,
442,Grimes,Kill V. Maim,spotify:track:2MpZratWHtEtJB0qVdJSPN,,True,
443,Kehlani,Nights Like This (feat. Ty Dolla $ign) - HONNE Remix,spotify:track:3RiwDuXFqS1N19NKYrk5Ya,,True,
444,Remi Wolf,Quiet On Set,spotify:track:7yjum1B7kQ8gFWTP0cqKMu,,True,
445,Grimes,Pin,spotify:track:76g1dbRCF8OAC0gtBOjq8j,,True,
446,Mitski,Brand New City,spotify:track:3PXTIwwI5dmlgrY0iYQq4J,,True,
447,Consequence,Whatever U Want - Main,spotify:track:5Q7AE2cDrLQeRYsW4evb5N,,,
448,Dounia,If U Wanna,spotify:track:3FdsBa4h5VcDDKuEiEoMzL,,True,
449,Dounia,LOWKEY GRL (feat. Moroccan Doll),spotify:track:0QU9QwoeyqUcYIv0mbMNpz,,True,
450,Vince Staples,Home,spotify:track:7pBsquIkbED6W6uSQJGbkn,,True,True
451,BABYMETAL,BxMxC,spotify:track:2HEM4wcGP2nFT1Z2i6jtvo,,True,
452,Dresage,Holy,spotify:track:0NJ9hUIQGFjCD0xcGdF5kT,,True,
453,Remi Wolf,Shawty,spotify:track:6CLeGoAfyJZ7BpO9lZiWFS,,True,
454,Kanye West,Waves,spotify:track:3nAq2hCr1oWsIU54tS98pL,True,True,True
455,DRAMA,Billy,spotify:track:2eQHAwP1oz4XsjHXSEaqZQ,,True,
456,Calvin Harris,Slide (feat. Frank Ocean & Migos),spotify:track:6gpcs5eMhJwax4mIfKDYQk,True,True,True
457,The Format,"Inches and Falling (I Love, Love)",spotify:track:1YTZNpgLZ56rLSPs6pf4w3,,True,
458,Death Grips,I Break Mirrors With My Face In The United States,spotify:track:4hiTbBpSeWGkkBC7YlTY9w,,True,
459,Dounia,Queen of Kings (Outro),spotify:track:7rvuykfOYtBmNxW2HuhuO7,,True,
460,Kanye West,Nah Nah Nah (feat. DaBaby & 2 Chainz) - Remix,spotify:track:20m8ZHA6Jevqo1xnhQffQu,,,
461,Knox Fortune,Lil Thing,spotify:track:4At1qbqCOJ9WFbvpWTOOY4,,,
462,The Paper Kites,Bloom - Bonus Track,spotify:track:1HMQmOWrkieKYWlFsjUP3D,,,
463,DJ これからの緊急災害,K-Hole with Fergie,spotify:track:4GvH13SpKIEgWK1OqhRhxy,,True,
464,Doja Cat,Cookie Jar,spotify:track:4QdjPwwCCq3ifWVHiRj3jx,,True,
465,Doja Cat,Ain't Shit,spotify:track:5lAnYvAIkSDNXqfo7DyFUm,,True,
466,Soccer Mommy,Your Dog,spotify:track:3BpUZB0tw4zNmG3Iw1mclL,,True,
467,Chloe x Halle,Forgive Me,spotify:track:0qU3XhIH9xczYPUWV6OopS,,True,
468,Clean Bandit,Rather Be (feat. Jess Glynne),spotify:track:3s4U7OHV7gnj42VV72eSZ6,,True,True
469,Kanye West,Follow God,spotify:track:2QpGZOhTCHHiKmpSO9FW4h,True,,
470,LIZ,Lottery,spotify:track:0IONRljAuf94GIkBhNKETP,,True,
471,Yaeji,raingurl,spotify:track:4gRAniZdYF2zVrDUsNC9tU,,,
472,Alice Longyu Gao,LEGEND - Gassed Up Remix,spotify:track:043R6gVEQtclGy8lZYzwJF,,True,
473,AAAMYYY,屍を越えてゆけ,spotify:track:3eZH0LBqHYh6lUAQU2Xyab,,True,
474,Vince Staples,Yeah Right,spotify:track:5ZrDbBB4UhYMsPA3xRKOzV,,True,
475,KIDS SEE GHOSTS,Feel The Love,spotify:track:3aUFrxO1B8EW63QchEl3wX,True,True,True
476,Sabrina Claudio,Better Version,spotify:track:6OYly4TGeYQFNXrt6Qh1JA,,,
477,Kendrick Lamar,We Cry Together,spotify:track:0RAvy97QRPzO2AfK5Dw6j3,,,
478,Kid Cudi,Erase Me - Main,spotify:track:6XkuklKiHYVTlVvWlTgQYP,True,,
479,Kanye West,Homecoming,spotify:track:2ovQ5MCx91XVjgVWEPfvks,,True,
480,Machine Girl,Ghost,spotify:track:4orMsymF399H3xKBc0AIhx,,True,
481,Clairo,4EVER,spotify:track:5mIOsPuQdXchVY0jB5NO9Q,,True,
482,Knox Fortune,Lil Thing,spotify:track:3q6ygCZID0OKj6MUxInB48,,,
483,Moneybagg Yo,Said Sum (feat. City Girls & DaBaby) - Remix,spotify:track:13VXVxePp4NUiXwtmQ0viz,,True,
484,LIZ,Pandemonium,spotify:track:5nnllOU9tiGPtAzzyOYkvG,,True,
485,Yelle,Ba$$in,spotify:track:2Ab2xJJw3hcXBi7LZM3PC5,,True,
486,Kitty,Mass Text Booty Call,spotify:track:5DIqLsAlsqWpeWtJXJOxJU,,,
487,FEMM,Wannabe,spotify:track:3Ad7QOWha9pwu0L0gx6fz8,,True,
488,Mitski,Francis Forever,spotify:track:6gpSU2C1VJq0xaVIGtQPVi,,True,
489,Black Eyed Peas,Imma Be,spotify:track:5OiLJ8tjUPFiPX2gVM8fxJ,,True,
490,Black Box,Everybody Everybody,spotify:track:24lF0of2nbQlTYDU8i6glX,,True,
491,Childish Gambino,53.49,spotify:track:2alJKJoqOOEPVU1Do3eIjJ,,,
492,Princess Nokia,Harley Quinn,spotify:track:0FCECeOtvMAGosjKB08s28,,True,
493,Rina Sawayama,Alterlife,spotify:track:6nrqxuvk571m7JGPbeEfda,,True,
494,SOPHIE,Ponyboy,spotify:track:30lIB7UwSLy5qgkfYZEtB1,,True,
495,Kanye West,Famous,spotify:track:19a3JfW8BQwqHWUMbcqSx8,,True,True
496,Death Grips,Get Got,spotify:track:781V2Y5LPtcpgONEOadadE,,True,
497,DJ Sabrina The Teenage DJ,Next To Me,spotify:track:16MKLKWVZPt84xOwCU56hg,,True,
498,Zolita,Loveline Remix (feat. Dorian Electra and Petal Supply),spotify:track:2Ljla3d99KvA8Vloag1FtT,,True,
499,"Tyler, The Creator",IFHY (feat. Pharrell),spotify:track:0NjW4SKY3gbfl2orl1p8hr,,True,
500,Death Grips,Bottomless Pit,spotify:track:7bINjFKpbYkjUR7VJDjMkD,,True,
501,The Marías,Basta Ya,spotify:track:4CUTUsBGjHslu2Bd3AOXGg,,True,
502,Two Door Cinema Club,Undercover Martyn,spotify:track:0Hrd6CSafHHqKptyFppmqH,,True,
503,Goreshit,Shit yourself for fun,spotify:track:3E1nPLyOCOZR5mcdLsbwkN,,True,
504,SOPHIE,HARD,spotify:track:5dZKynFbI4EqmaUKDFTEM2,,True,
505,Death Grips,You Might Think He Loves You for Your Money but I Know What He Really Loves You for It's Your Brand New Leopard Skin Pillbox Hat,spotify:track:5YnS9oWrGcwf1tgode1F7z,,True,
506,Rico Nasty,OHFR?,spotify:track:0MJ6Ci5Up2ZQsXXygcVCQ3,,True,
507,Nicotine's Famous Honey,Pull Up,spotify:track:0IHJLN7V8UWfcHj1U0aaYQ,,,
508,P.H.F.,Queen,spotify:track:7KmgtxP0GJ0hQ2Y5E6EItk,,True,
509,Raveena,Stronger,spotify:track:7qKWAtneIWuObMgaj57yvx,,True,
510,Azealia Banks,Chips,spotify:track:2SZI4t2AgJYquRPZ60QeXL,,True,
511,Vince Staples,SAMO,spotify:track:7ei3g8ZUH6C3IELNhwI9R0,,True,
512,Kanye West,No Mistakes,spotify:track:35KV2Nuib6jPMVN00O8iba,,True,True
513,Kanye West,Don't Like.1,spotify:track:12D0n7hKpPcjuUpcbAKjjr,,True,
514,BETWEEN FRIENDS,better friends,spotify:track:3zV2AEuJETO2BlgZkCn7QK,,True,
515,Kanye West,Monster,spotify:track:1ZHYJ2Wwgxes4m8Ba88PeK,True,True,True
516,SOPHIE,Not Okay - Alone Mix,spotify:track:2rItExC2Ht8PcgMV0lqbf8,,True,
517,Rina Sawayama,Bad Friend,spotify:track:1ApN1loxlt0rzRFc8iETw7,,True,
518,Tove Lo,"bitches (feat. Charli XCX, Icona Pop, Elliphant, ALMA)",spotify:track:0S0rlh59DhpPheILyXYX76,,True,
519,Kanye West,Paranoid,spotify:track:0w2piYWj1F2bzUftzGJgK9,True,,
520,Eurythmics,Sweet Dreams (Are Made of This) - Remastered,spotify:track:1TfqLAPs4K3s2rJMoCokcS,,True,
521,Cafuné,Letting Go,spotify:track:71PQ5HbyifooqoPMDd0UdF,,True,
522,Vince Staples,Lemme Know,spotify:track:1u1VcXquBfZfu7dc8PVYVc,,True,
523,GameChops,Cherry Blossom Color Season,spotify:track:1NFy6683I19ukTuTxNZFis,,True,
524,"Tyler, The Creator",DEATHCAMP (feat. Cole Alexander),spotify:track:1dXYBALYTj3AMxa8hgiQhA,,True,
525,Rico Nasty,Bitch I'm Nasty,spotify:track:2xXNa4tR2CronQsZ6OKQtP,,True,
526,"Tyler, The Creator",Domo23,spotify:track:75kiQfmmuQwgquZ9RLSvuA,,True,
527,Lorde,Green Light,spotify:track:3I4QOvltiKcMu3xmnQjEct,True,True,
528,Cecile Believe,Bitch Bites Dog,spotify:track:3vVYV1vW9FPSF5BTIXWhMK,,True,
529,Fiona Apple,Fast As You Can - Radio Edit,spotify:track:0zgCpJcPNPXrjI7ruy5UGY,,True,
530,Netabak,Lord of the Game,spotify:track:5XHqW47npc3YiXmBwZ39ao,,True,
531,The Marías,Little by Little,spotify:track:3EzlgdxyFvjeAGzR5WxHB8,,True,
532,Doja Cat,Tia Tamera (feat. Rico Nasty),spotify:track:3fknKzcgYzWe30unQ7XXiz,,True,
533,bludnymph,FEAST,spotify:track:3smTeRQ3qxUvC8Gf4ckUEs,,True,
534,Vulfpeck,Walkies,spotify:track:1GmtpbNbybW5ZDSqn6v3NO,,True,
535,Danny Brown,Ain't it Funny,spotify:track:7ItFoQDmQIh3MAPsxiP6Vt,,True,
536,Let's Eat Grandma,Hot Pink,spotify:track:1MAhhW31aMIknkD19pZmrP,,True,
537,"Tyler, The Creator",I Ain't Got Time!,spotify:track:430qNtapCS3Ue1yoSql1oV,,True,
538,Dessert,Back Around,spotify:track:0xuWcVv68VWYfHl8gdtp5k,,True,
539,JPEGMAFIA,Baby I'm Bleeding,spotify:track:5pUudDDuJgIpgKIGk2zmxv,,True,
540,Brooke Candy,FMU (feat. Rico Nasty & Boys Noize),spotify:track:5AD8DWoQa4NGe2WagH4YF2,,True,
541,SOPHIE,Faceshopping,spotify:track:5Phe35xgdkRSxTdM4MAVIk,,True,
542,Vetta Borne,Girls,spotify:track:1LFu0JwC7x6CFLc6jpRKzH,,True,
543,Otoboke Beaver,Binge eating binge drinking bulimia,spotify:track:4LQoxlwjxveit5eNT4tphX,,True,
544,Azealia Banks,Anna Wintour,spotify:track:0U0266U8qEvuhZnHIYZKwd,,True,
545,Doja Cat,Get Into It (Yuh),spotify:track:0FYc9DIr89rbzt2WJMvyou,True,True,
